,えび,かに,小麦,そば,卵,乳,落花生,くるみ,"アーモンド",あわび,いか,いくら,オレンジ,"カシューナッツ","キウイフルーツ",牛肉,ごま,さけ,さば,大豆,鶏肉,バナナ,豚肉,まつたけ,もも,やまいも,りんご,ゼラチン,魚介類,熱量(kcal),たんぱく質(g),脂質(g),炭水化物(g),"糖質(g)","食物繊維(g)",食塩相当量(g)
レタス 1枚,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,2,0.1,0.1,0.3,0.2,0.1,0.0
オニオン 2枚,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,1,0.1,0.1,0.2,0.1,0.1,0.0
スライストマト 1枚,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,4,0.2,0.1,1.0,0.8,0.2,0.0
ディップポテト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ディップポテト  （S),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,231,2.8,13.1,26.6,24.5,2.1,1.3
ディップポテト  （M),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,352,4.2,19.9,40.5,37.3,3.2,2.0
ディップポテト  （L),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,462,5.5,26.1,53.1,49.0,4.1,2.6
ディップポテト  （箱）,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,923,11.0,52.1,106.3,97.9,8.4,5.2
（BBQ）,,,○,,,,,,,,,,,,,,,,,○,,,,,,,,,,23,0.1,0.2,5.4,5.2,0.2,0.4
(ハニーマスタード),,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,34,0.2,2.1,3.6,3.5,0.1,0.3
（ガーリックマヨ）,,,,,○,,,,,,,,,,,,○,,,,,,,,,,,,,42,0.2,3.3,2.9,2.8,0.1,0.5
(スモークチーズ）,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,30,0.7,2.6,1.7,1.7,0.0,0.5
（博多明太マヨ）,,,○,,○,,,,,,,,,,,,,○,,○,,,,,,,,,,72,0.1,7.4,0.7,0.7,0.0,0.5
（わさびマヨ）,,,,,○,,,,,,,,,,,,,,,,,,,,,,○,,,81,0.2,7.7,2.7,2.7,0.0,0.2
ポテト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フレンチフライポテト  （S),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,231,2.8,13.1,26.6,24.5,2.1,1.3
フレンチフライポテト  （M),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,352,4.2,19.9,40.5,37.3,3.2,2.0
フレンチフライポテト  （L),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,462,5.5,26.1,53.1,49.0,4.1,2.6
フレンチフライポテト  （箱）,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,923,11.0,52.1,106.3,97.9,8.4,5.2
カレー味ポテト（M),▲,,○,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,▲,,○,,▲,,▲,▲,,363,4.8,20.1,42.3,38.9,3.4,2.8
カレー味ポテト（L),▲,,○,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,▲,,○,,▲,,▲,▲,,473,6.1,26.3,54.9,50.5,4.4,3.4
カレー味ポテト（箱）,▲,,○,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,▲,,○,,▲,,▲,▲,,946,12.2,52.6,109.8,101.0,8.8,6.8
濃厚じゃがバタ味ポテト（M),▲,,○,,▲,○,▲,,,,,,▲,,,○,○,,,○,○,,○,,▲,,▲,○,,364,4.8,20.1,42.4,39.1,3.3,2.8
濃厚じゃがバタ味ポテト（L),▲,,○,,▲,○,▲,,,,,,▲,,,○,○,,,○,○,,○,,▲,,▲,○,,474,6.1,26.4,54.9,50.7,4.2,3.4
濃厚じゃがバタ味ポテト（箱）,▲,,○,,▲,○,▲,,,,,,▲,,,○,○,,,○,○,,○,,▲,,▲,○,,946,12.2,52.6,109.9,101.4,8.5,6.7
